date,temp,precip
2020-05-18,273.65,0
2020-05-19,274.12,0.3
2020-05-20,272.75,0
2020-05-21,272.48,0
2020-05-22,274.45,0
2020-05-23,277.12,4.4
2020-05-24,271.87,0.2
2020-05-25,268.77,0
2020-05-26,269.87,0
2020-05-27,267.73,0
2020-05-28,271,0.4
2020-05-29,268.27,0
2020-05-30,269.25,0
2020-05-31,268.92,0
2020-06-01,270.32,0
2020-06-02,273.48,0
2020-06-03,273.72,0.3
2020-06-04,274.1,7.8
2020-06-05,271.08,1.8
2020-06-06,274.48,1.8
2020-06-07,274.5,20.8
2020-06-08,271.55,5.8
2020-06-09,272.42,8.7
2020-06-10,271.38,20.3
2020-06-11,271.33,10.2
2020-06-12,271.87,0
2020-06-13,275.53,0
2020-06-14,275.87,1.7
2020-06-15,273.88,0.1
2020-06-16,272.73,1
2020-06-17,274.48,4.9
2020-06-18,273.07,13.4
2020-06-19,273.48,9.6
2020-06-20,271.47,0.3
2020-06-21,272.6,0
2020-06-22,274.4,0
2020-06-23,274.53,0
2020-06-24,277.68,0
2020-06-25,278.47,0
2020-06-26,278.58,2.3
2020-06-27,278.08,1.4
2020-06-28,278.38,0
2020-06-29,279.88,4.1
2020-06-30,278.6,
