date,temp,precip
2020-05-20,273.7,0
2020-05-21,272.15,0
2020-05-22,275.25,0
2020-05-23,277.97,6.1
2020-05-24,272.95,0.1
2020-05-25,270.05,0
2020-05-26,271.03,0
2020-05-27,268.93,0
2020-05-28,272.52,0.1
2020-05-29,269.62,0
2020-05-30,270.3,0
2020-05-31,270.05,0
2020-06-01,270.48,0
2020-06-02,274.87,0
2020-06-03,274.45,0.1
2020-06-04,274.85,21.1
2020-06-05,271.65,0.4
2020-06-06,275.68,1.8
2020-06-07,275.58,18.4
2020-06-08,271.77,6.5
2020-06-09,273.22,10.1
2020-06-10,272.12,16.6
2020-06-11,271.7,13.2
2020-06-12,272.82,0
2020-06-13,275.95,0
2020-06-14,276.62,2
2020-06-15,274.45,0.7
2020-06-16,273.38,0.6
2020-06-17,275.3,7.3
2020-06-18,274.05,9
2020-06-19,274.17,6.7
2020-06-20,272.17,0
2020-06-21,273.8,0
2020-06-22,275.67,0
2020-06-23,275.3,0
2020-06-24,277.98,0
2020-06-25,279.97,0
2020-06-26,279.83,4.1
2020-06-27,278.87,2.7
2020-06-28,280.23,0
2020-06-29,280.83,8.2
2020-06-30,279.88,
