date,temp,precip
2020-05-18,274.92,0
2020-05-19,275.73,0.39
2020-05-20,274.95,0
2020-05-21,273.8,0
2020-05-22,275.92,0
2020-05-23,278.4,1.92
2020-05-24,272.58,0.28
2020-05-25,270.58,0
2020-05-26,271.52,0
2020-05-27,269.87,0.7
2020-05-28,273.7,0.6
2020-05-29,269.97,0.14
2020-05-30,270.37,0.31
2020-05-31,270.3,0
2020-06-01,271.23,0
2020-06-02,275.17,0
2020-06-03,275.27,0.13
2020-06-04,275.62,8.14
2020-06-05,272.02,2.06
2020-06-06,276.07,0.47
2020-06-07,276.37,18.25
2020-06-08,271.7,7.97
2020-06-09,272.5,4.89
2020-06-10,272.92,24.07
2020-06-11,271.73,16.93
2020-06-12,273.67,0
2020-06-13,277.27,0
2020-06-14,277.23,2.82
2020-06-15,275.02,2.29
2020-06-16,273.97,0.55
2020-06-17,275.95,3.32
2020-06-18,274.17,12.48
2020-06-19,273.72,14.75
2020-06-20,272.43,0.46
2020-06-21,273.78,0.15
2020-06-22,275.98,0.47
2020-06-23,276.22,0
2020-06-24,278.48,0.28
2020-06-25,279.77,0
2020-06-26,280.22,3.25
2020-06-27,279.48,1.06
2020-06-28,280.58,0
2020-06-29,281.63,7.53
2020-06-30,279.75,
